blur_restaurant_uuid,date,weekday,site_id,village,price,yyyy-mm
r3588c2,2022-01-29,6,高雄市鳳山區,忠義里,12112.0,2022-01
r3588c2,2022-01-30,7,高雄市鳳山區,忠義里,20371.0,2022-01
r3588c2,2022-01-31,1,高雄市鳳山區,忠義里,10743.0,2022-01
r3588c2,2022-02-03,4,高雄市鳳山區,忠義里,32851.0,2022-02
r3588c2,2022-02-04,5,高雄市鳳山區,忠義里,19657.0,2022-02
r3588c2,2022-02-05,6,高雄市鳳山區,忠義里,19726.0,2022-02
r3588c2,2022-02-06,7,高雄市鳳山區,忠義里,18370.0,2022-02
r3588c2,2022-02-08,2,高雄市鳳山區,忠義里,10836.0,2022-02
r3588c2,2022-02-09,3,高雄市鳳山區,忠義里,10088.0,2022-02
r3588c2,2022-02-10,4,高雄市鳳山區,忠義里,11501.0,2022-02
r3588c2,2022-02-11,5,高雄市鳳山區,忠義里,8721.0,2022-02
r3588c2,2022-02-12,6,高雄市鳳山區,忠義里,14025.0,2022-02
r3588c2,2022-02-13,7,高雄市鳳山區,忠義里,17738.0,2022-02
r3588c2,2022-02-15,2,高雄市鳳山區,忠義里,5245.0,2022-02
r3588c2,2022-02-16,3,高雄市鳳山區,忠義里,13475.0,2022-02
r3588c2,2022-02-17,4,高雄市鳳山區,忠義里,9339.0,2022-02
r3588c2,2022-02-18,5,高雄市鳳山區,忠義里,9462.0,2022-02
r3588c2,2022-02-19,6,高雄市鳳山區,忠義里,16838.0,2022-02
r3588c2,2022-02-20,7,高雄市鳳山區,忠義里,17007.0,2022-02
r3588c2,2022-02-22,2,高雄市鳳山區,忠義里,6863.0,2022-02
r3588c2,2022-02-23,3,高雄市鳳山區,忠義里,6691.0,2022-02
r3588c2,2022-02-24,4,高雄市鳳山區,忠義里,7200.0,2022-02
r3588c2,2022-02-25,5,高雄市鳳山區,忠義里,10292.0,2022-02
r3588c2,2022-02-26,6,高雄市鳳山區,忠義里,16567.0,2022-02
